name,dist_ly,x,y,z,spect,temp,size,color,brightness,comp_val,comp_desc,stage,image,has_planets,planet_count,visible_from
Earth (Sun),0.0,0.0,0.0,0.0,G2V,5757,1.007,Yellow,1.0,1.0,Solar metallicity,Main Sequence,images/sun.jpg,TRUE,8,"Solar System (Earth/Sun) (Home Star), Proxima Centauri System (4.2 ly away), Barnard's Star System (6.0 ly away)"
Proxima Centauri,4.23,-1.54,-1.18,-3.75,M5Ve,3383,0.022,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/proxima.jpg,TRUE,3,"Proxima Centauri System (0.4 ly away), Solar System (Earth/Sun) (4.2 ly away), Barnard's Star System (7.1 ly away)"
Toliman,4.32,-1.62,-1.35,-3.77,K1V,4996,0.888,Orange,0.441,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,TRUE,1,"Proxima Centauri System (0.3 ly away), Solar System (Earth/Sun) (4.3 ly away), Barnard's Star System (7.0 ly away)"
Rigil Kentaurus,4.32,-1.62,-1.35,-3.77,G2V,5568,1.338,Yellow,1.5431,1.0,Solar metallicity,Main Sequence,images/sun.jpg,TRUE,1,"Proxima Centauri System (0.3 ly away), Solar System (Earth/Sun) (4.3 ly away), Barnard's Star System (7.0 ly away)"
Barnard's Star,5.95,-0.06,-5.92,0.49,sdM4,3691,0.052,Yellow,0.0004,0.5,Metal-poor,Subdwarf,images/barnard.jpg,TRUE,1,"Barnard's Star System (1.0 ly away), Solar System (Earth/Sun) (5.9 ly away), Proxima Centauri System (6.2 ly away)"
Wolf 359,7.8,-7.45,2.12,0.95,M6,3169,0.024,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,2,"Wolf 359 System (Home Star), Solar System (Earth/Sun) (7.8 ly away), Proxima Centauri System (8.3 ly away)"
Lalande 21185,8.31,-6.52,1.64,4.88,M2V,3791,0.175,Red,0.0057,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (4.1 ly away), Solar System (Earth/Sun) (8.3 ly away), Ross 128 System (9.0 ly away)"
Gliese Gl 65A,8.57,7.41,3.41,-2.64,dM5.5e,3333,0.023,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Tau Ceti System (3.4 ly away), Epsilon Eridani System (5.1 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Gliese Gl 65B,8.57,7.41,3.41,-2.64,dM5.5e,12000,0.01,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Tau Ceti System (3.4 ly away), Epsilon Eridani System (5.1 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Sirius,8.6,-1.61,8.08,-2.47,A0m...,10014,1.591,White,22.8244,1.4,Metal-rich,Main Sequence,images/sirius.jpg,FALSE,0,"Ross 128 System (6.4 ly away), Epsilon Eridani System (7.8 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Gliese Gl 244B,8.6,-1.61,8.08,-2.47,DA2,10516,0.015,White,0.0025,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Ross 128 System (6.4 ly away), Epsilon Eridani System (7.8 ly away), Solar System (Earth/Sun) (8.6 ly away)"
Ross 154,9.69,1.91,-8.65,-3.91,M3.5Ve,3779,0.055,Red,0.0005,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (6.4 ly away), Proxima Centauri System (7.9 ly away), Solar System (Earth/Sun) (9.7 ly away)"
Ross 248,10.33,7.38,-0.58,7.19,dM6  e,3277,0.032,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Solar System (Earth/Sun) (10.3 ly away), Barnard's Star System (10.8 ly away), Tau Ceti System (12.2 ly away)"
Ran,10.49,6.19,8.29,-1.72,K2V,5048,0.709,Orange,0.293,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,TRUE,1,"Epsilon Eridani System (Home Star), Tau Ceti System (5.5 ly away), Solar System (Earth/Sun) (10.5 ly away)"
Lacaille 9352,10.68,8.42,-2.03,-6.26,M2/M3V,3819,0.237,Red,0.0107,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,2,"Gliese 876 System (6.7 ly away), Tau Ceti System (7.9 ly away), Proxima Centauri System (10.3 ly away)"
Ross 128,10.94,-10.93,0.59,0.15,M4.5V,3457,0.052,Red,0.0003,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,1,"Wolf 359 System (3.9 ly away), Proxima Centauri System (10.4 ly away), Solar System (Earth/Sun) (10.9 ly away)"
EZ Aqr,11.08,10.01,-3.72,-2.92,M5  e,3190,0.031,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (4.3 ly away), Tau Ceti System (8.8 ly away), Solar System (Earth/Sun) (11.1 ly away)"
Struve 2398 B,11.27,1.06,-5.6,9.72,K5,3704,0.09,Orange,0.0014,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Barnard's Star System (8.4 ly away), Solar System (Earth/Sun) (11.3 ly away), Proxima Centauri System (14.2 ly away)"
61 Cyg,11.37,6.46,-6.08,7.12,K5V,4583,0.472,Orange,0.0881,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Barnard's Star System (8.7 ly away), Solar System (Earth/Sun) (11.4 ly away), Gliese 876 System (13.5 ly away)"
61 Cyg,11.41,6.48,-6.1,7.14,K7V,4105,0.399,Orange,0.0405,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Barnard's Star System (8.7 ly away), Solar System (Earth/Sun) (11.4 ly away), Gliese 876 System (13.5 ly away)"
Gliese Gl 280B,11.41,-4.77,10.31,1.04,DA,12000,0.01,White,0.0006,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Ross 128 System (2.8 ly away), Wolf 359 System (8.6 ly away), Solar System (Earth/Sun) (11.4 ly away)"
Procyon,11.46,-4.79,10.36,1.04,F5IV-V,6714,2.02,Yellow-White,7.4405,1.0,Solar metallicity,Subgiant,images/procyon.jpg,FALSE,0,"Ross 128 System (2.8 ly away), Wolf 359 System (8.7 ly away), Solar System (Earth/Sun) (11.5 ly away)"
Struve 2398 A,11.64,1.09,-5.78,10.04,K5,3787,0.126,Orange,0.0029,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Barnard's Star System (8.7 ly away), Solar System (Earth/Sun) (11.6 ly away), Proxima Centauri System (14.5 ly away)"
Gliese Gl 15B,11.64,8.34,0.67,8.09,M6 Ve,3404,0.059,Red,0.0004,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Solar System (Earth/Sun) (11.6 ly away), Tau Ceti System (12.3 ly away), Barnard's Star System (12.5 ly away)"
Groombridge 34,11.7,8.39,0.67,8.13,M1V,3705,0.196,Red,0.0065,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,2,"Solar System (Earth/Sun) (11.7 ly away), Tau Ceti System (12.3 ly away), Barnard's Star System (12.6 ly away)"
Eps Ind,11.81,5.65,-3.15,-9.88,K5V,4612,0.612,Orange,0.1521,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,TRUE,1,"Proxima Centauri System (9.7 ly away), Gliese 876 System (10.6 ly away), Tau Ceti System (11.5 ly away)"
Gliese GJ 1111,11.83,-6.42,8.38,5.33,M6.5,3108,0.024,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (3.9 ly away), Wolf 359 System (7.7 ly away), Solar System (Earth/Sun) (11.8 ly away)"
52Tau Cet,11.91,10.29,5.02,-3.27,G8V,5511,0.751,Yellow,0.4664,1.0,Solar metallicity,Main Sequence,images/sun.jpg,TRUE,4,"Tau Ceti System (Home Star), Epsilon Eridani System (5.5 ly away), Gliese 876 System (10.1 ly away)"
Gliese Gl 54.1,12.03,10.94,3.58,-3.52,M5.5Ve,3333,0.039,Red,0.0002,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Tau Ceti System (1.6 ly away), Epsilon Eridani System (6.9 ly away), Gliese 876 System (8.5 ly away)"
Hipparcos 82724,12.06,-1.57,-5.36,-10.68,Mp,3479,0.041,Red,0.0002,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Proxima Centauri System (8.0 ly away), Solar System (Earth/Sun) (12.1 ly away), Barnard's Star System (12.2 ly away)"
Luyten's Star,12.4,-4.6,11.46,1.13,M5,3687,0.094,Red,0.0015,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (3.0 ly away), Wolf 359 System (9.8 ly away), Epsilon Eridani System (11.6 ly away)"
Kapteyn's Star,12.76,1.89,8.82,-9.03,M0V,3730,0.148,Red,0.0038,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,1,"Epsilon Eridani System (8.5 ly away), Tau Ceti System (10.9 ly away), Proxima Centauri System (12.2 ly away)"
Lacaille 8760,12.87,7.6,-6.53,-8.08,M1/M2V,3955,0.361,Red,0.0286,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (8.2 ly away), Proxima Centauri System (11.3 ly away), Barnard's Star System (12.3 ly away)"
Kruger 60,13.05,6.42,-2.72,11.03,M2V,3631,0.114,Red,0.002,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (12.0 ly away), Solar System (Earth/Sun) (13.0 ly away), Proxima Centauri System (16.7 ly away)"
Gliese Gl 860B,13.07,6.43,-2.73,11.04,M6 V,3392,0.06,Red,0.0004,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (12.0 ly away), Solar System (Earth/Sun) (13.1 ly away), Proxima Centauri System (16.7 ly away)"
Gliese Gl 234B,13.43,-1.72,13.3,-0.66,G2V,5700,0.01,Yellow,0.0001,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Ross 128 System (5.6 ly away), Epsilon Eridani System (9.4 ly away), Wolf 359 System (12.7 ly away)"
Ross 614,13.46,-1.72,13.33,-0.66,M4.5Ve,3528,0.062,Red,0.0005,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (5.6 ly away), Epsilon Eridani System (9.4 ly away), Wolf 359 System (12.7 ly away)"
Hipparcos 82725,13.52,-1.77,-6.01,-11.99,G2V,5700,0.018,Yellow,0.0003,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Proxima Centauri System (9.5 ly away), Gliese 667 System (12.5 ly away), Solar System (Earth/Sun) (13.5 ly away)"
Van Maanen's Star,13.9,13.53,2.95,1.31,DG,6154,0.012,White,0.0002,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Tau Ceti System (6.0 ly away), Gliese 876 System (8.8 ly away), Epsilon Eridani System (9.6 ly away)"
Wolf 1061,14.0,-5.21,-12.63,-3.07,M4,3644,0.096,Red,0.0015,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,3,"Gliese 581 System (8.2 ly away), Barnard's Star System (9.7 ly away), Gliese 667 System (11.6 ly away)"
Gliese GJ 1061,14.0,5.87,8.07,-9.81,M4.5,3277,0.031,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,3,"Epsilon Eridani System (8.1 ly away), Tau Ceti System (8.5 ly away), Proxima Centauri System (13.6 ly away)"
Gliese Gl 473A,14.05,-13.73,-2.01,2.2,dM5.5eJ,3356,0.029,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Wolf 359 System (7.6 ly away), Proxima Centauri System (13.5 ly away), Solar System (Earth/Sun) (14.0 ly away)"
Gliese Gl 473B,14.05,-13.73,-2.01,2.2,M7,3100,0.031,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (7.6 ly away), Proxima Centauri System (13.5 ly away), Solar System (Earth/Sun) (14.0 ly away)"
Gliese Gl 1,14.15,11.25,0.27,-8.59,M2V,3852,0.177,Red,0.0062,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Tau Ceti System (7.2 ly away), Gliese 876 System (7.2 ly away), Epsilon Eridani System (11.7 ly away)"
Gliese GJ 3522,14.56,-10.14,10.23,2.15,k,3555,0.073,Orange,0.0008,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Ross 128 System (6.9 ly away), Wolf 359 System (8.6 ly away), Solar System (Earth/Sun) (14.6 ly away)"
Gliese Gl 83.1,14.57,12.28,7.11,3.29,dM8  e,3392,0.042,White,0.0002,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Tau Ceti System (7.2 ly away), Epsilon Eridani System (8.0 ly away), Gliese 876 System (13.5 ly away)"
Gliese GJ 3618,14.64,-6.67,2.28,-12.83,m,3368,0.021,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Proxima Centauri System (11.2 ly away), Wolf 359 System (13.8 ly away), Solar System (Earth/Sun) (14.6 ly away)"
Gliese GJ 3622,14.76,-13.77,4.46,-2.9,M6.5,3069,0.025,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (7.8 ly away), Ross 128 System (13.3 ly away), Proxima Centauri System (13.7 ly away)"
Gliese Gl 687,14.77,-0.56,-5.42,13.73,M3.5Vvar,3786,0.146,Red,0.0039,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (12.3 ly away), Solar System (Earth/Sun) (14.8 ly away), Wolf 359 System (16.4 ly away)"
Gliese Gl 674,14.81,-1.38,-10.02,-10.81,K5,3715,0.136,Orange,0.0032,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Gliese 667 System (8.8 ly away), Proxima Centauri System (11.1 ly away), Barnard's Star System (13.0 ly away)"
Gliese Gl 440,15.03,-6.38,0.4,-13.6,DC:,8194,0.011,White,0.0005,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Proxima Centauri System (11.3 ly away), Wolf 359 System (14.7 ly away), Solar System (Earth/Sun) (15.0 ly away)"
Gliese Gl 876,15.29,14.2,-4.25,-3.77,M5,3653,0.102,Red,0.0017,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,4,"Gliese 876 System (Home Star), Tau Ceti System (10.1 ly away), Epsilon Eridani System (15.0 ly away)"
Gliese GJ 1002,15.33,15.18,0.45,-2.01,M5-5.5,3190,0.026,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,2,"Gliese 876 System (5.1 ly away), Tau Ceti System (6.8 ly away), Epsilon Eridani System (11.9 ly away)"
Gliese GJ 1245A,15.38,5.24,-9.66,10.77,M5.5 V e,3277,0.028,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (11.4 ly away), Solar System (Earth/Sun) (15.4 ly away), Proxima Centauri System (17.9 ly away)"
Gliese GJ 1245B,15.38,5.24,-9.66,10.77,m,3190,0.023,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (11.4 ly away), Solar System (Earth/Sun) (15.4 ly away), Proxima Centauri System (17.9 ly away)"
Gliese Gl 412B,15.76,-11.11,2.69,10.85,M6  e,3079,0.025,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (10.6 ly away), Ross 128 System (12.9 ly away), Solar System (Earth/Sun) (15.8 ly away)"
Gliese Gl 412A,15.81,-11.14,2.7,10.89,M2Vvar,3807,0.179,Red,0.0061,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (10.6 ly away), Ross 128 System (12.9 ly away), Solar System (Earth/Sun) (15.8 ly away)"
Gliese Gl 380,15.89,-9.19,4.72,12.08,K8V,4075,0.438,Orange,0.0474,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Wolf 359 System (11.6 ly away), Ross 128 System (11.6 ly away), Solar System (Earth/Sun) (15.9 ly away)"
Gliese Gl 388,16.0,-13.63,6.38,5.44,M4.5Ve,3734,0.144,Red,0.0036,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (8.7 ly away), Ross 128 System (11.0 ly away), Solar System (Earth/Sun) (16.0 ly away)"
Gliese Gl 832,16.16,8.51,-6.32,-12.2,M1V,3762,0.202,Red,0.0073,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (10.4 ly away), Proxima Centauri System (14.0 ly away), Tau Ceti System (14.5 ly away)"
Gliese GJ 1005A,16.26,15.59,1.05,-4.52,M:,3453,0.066,Red,0.0005,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (5.5 ly away), Tau Ceti System (6.7 ly away), Epsilon Eridani System (12.2 ly away)"
Keid,16.26,7.11,14.46,-2.16,K1V,5221,0.741,Orange,0.3658,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Epsilon Eridani System (6.3 ly away), Tau Ceti System (10.0 ly away), Ross 128 System (12.7 ly away)"
Gliese Gl 166B,16.45,7.19,14.63,-2.19,DA4,9766,0.021,White,0.0034,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Epsilon Eridani System (6.4 ly away), Tau Ceti System (10.2 ly away), Ross 128 System (12.9 ly away)"
Gliese Gl 166C,16.45,7.18,14.63,-2.19,dM4.5e,3555,0.073,White,0.0008,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Epsilon Eridani System (6.4 ly away), Tau Ceti System (10.2 ly away), Ross 128 System (12.9 ly away)"
Gliese Gl 682,16.56,-1.18,-11.79,-11.57,M5,3574,0.08,Red,0.0009,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (7.0 ly away), Proxima Centauri System (12.9 ly away), Barnard's Star System (14.4 ly away)"
70 Oph,16.58,0.39,-16.56,0.72,K0V SB,5106,0.95,Orange,0.55,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Barnard's Star System (10.8 ly away), Gliese 581 System (13.8 ly away), Gliese 667 System (14.4 ly away)"
Gliese Gl 702B,16.59,0.39,-16.57,0.72,K5 Ve,4409,0.514,Orange,0.0897,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Barnard's Star System (10.8 ly away), Gliese 581 System (13.8 ly away), Gliese 667 System (14.4 ly away)"
Gliese Gl 873,16.71,11.35,-3.75,11.68,M4.5Ve,3734,0.1,Red,0.0017,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (15.5 ly away), Gliese 876 System (15.7 ly away), Solar System (Earth/Sun) (16.7 ly away)"
Altair,16.73,7.68,-14.64,2.58,A7IV-V,8004,1.758,White,11.3763,1.4,Metal-rich,Subgiant,images/sirius.jpg,FALSE,0,"Barnard's Star System (11.9 ly away), Gliese 876 System (13.8 ly away), Solar System (Earth/Sun) (16.7 ly away)"
Gliese GJ 1116A,17.05,-11.26,11.43,5.76,m,3345,0.022,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (8.3 ly away), Wolf 359 System (11.2 ly away), Solar System (Earth/Sun) (17.0 ly away)"
Gliese GJ 1116B,17.05,-11.26,11.43,5.77,m,3244,0.022,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (8.3 ly away), Wolf 359 System (11.2 ly away), Solar System (Earth/Sun) (17.1 ly away)"
Hipparcos 67593,17.37,-14.07,-7.4,7.0,G2V,5700,0.011,Yellow,0.0001,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 581 System (12.6 ly away), Wolf 359 System (13.1 ly away), Barnard's Star System (15.1 ly away)"
Gliese Gl 445,17.45,-3.42,0.18,17.11,M4,3688,0.085,Red,0.0012,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Wolf 359 System (16.8 ly away), Ross 128 System (16.8 ly away), Barnard's Star System (17.1 ly away)"
Gliese GJ 3379,17.51,-0.0,17.49,0.83,M4,3541,0.072,Red,0.0007,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (8.7 ly away), Epsilon Eridani System (11.4 ly away), Tau Ceti System (16.7 ly away)"
Gliese Gl 526,17.58,-15.22,-7.56,4.52,M3V,3894,0.225,Red,0.0105,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (10.9 ly away), Wolf 359 System (12.9 ly away), Barnard's Star System (15.5 ly away)"
Gliese Gl 169.1B,17.98,3.5,8.58,15.41,DC5,7399,0.01,White,0.0003,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Ross 128 System (13.9 ly away), Epsilon Eridani System (17.3 ly away), Solar System (Earth/Sun) (18.0 ly away)"
Hipparcos 58910,17.99,-8.45,-0.18,-15.89,F0Ib-II,5868,0.153,Yellow-White,0.0248,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Proxima Centauri System (14.1 ly away), Wolf 359 System (17.0 ly away), Solar System (Earth/Sun) (18.0 ly away)"
Gliese Gl 169.1A,18.19,3.54,8.68,15.59,G2V,4368,0.062,Yellow,0.0013,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Ross 128 System (14.1 ly away), Epsilon Eridani System (17.5 ly away), Solar System (Earth/Sun) (18.2 ly away)"
Hipparcos 33226,18.22,-3.61,14.8,10.0,K:...,3677,0.135,Orange,0.003,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Ross 128 System (8.2 ly away), Wolf 359 System (16.0 ly away), Epsilon Eridani System (16.6 ly away)"
Hipparcos 83609,18.32,-3.6,-14.79,-10.18,G0,5940,0.07,Yellow,0.0055,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 667 System (4.6 ly away), Gliese 581 System (12.0 ly away), Proxima Centauri System (14.9 ly away)"
Gliese Gl 205,18.45,2.29,18.27,-1.18,M1V,3833,0.306,Red,0.0181,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Epsilon Eridani System (10.7 ly away), Ross 128 System (11.1 ly away), Tau Ceti System (15.6 ly away)"
Gliese Gl 754,18.56,4.49,-12.2,-13.26,M4.5,3541,0.051,Red,0.0004,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (9.9 ly away), Proxima Centauri System (15.6 ly away), Gliese 876 System (15.7 ly away)"
Hipparcos 103039,18.63,12.19,-13.01,-5.44,G2V,3577,0.073,Yellow,0.0008,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 876 System (9.1 ly away), Barnard's Star System (15.9 ly away), Proxima Centauri System (18.0 ly away)"
Gliese Gl 644B,18.72,-5.15,-17.79,-2.71,G2V,5700,0.058,Yellow,0.0031,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 581 System (8.2 ly away), Gliese 667 System (10.5 ly away), Barnard's Star System (13.7 ly away)"
Gliese Gl 644C,18.72,-5.14,-17.8,-2.73,M7,3180,0.023,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (8.2 ly away), Gliese 667 System (10.5 ly away), Barnard's Star System (13.7 ly away)"
Gliese Gl 229,18.77,-0.8,17.4,-6.99,M1/M2V,3813,0.289,Red,0.0158,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Epsilon Eridani System (12.6 ly away), Ross 128 System (13.1 ly away), Tau Ceti System (17.0 ly away)"
Alsafi,18.77,2.56,-6.0,17.6,K0V,5323,0.737,Orange,0.3908,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Barnard's Star System (16.4 ly away), Solar System (Earth/Sun) (18.8 ly away), Wolf 359 System (21.1 ly away)"
Gliese Gl 251,18.79,-3.72,15.26,10.31,dM4,3691,0.131,White,0.0029,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Ross 128 System (8.7 ly away), Wolf 359 System (16.6 ly away), Epsilon Eridani System (17.1 ly away)"
Gliese Gl 338A,18.95,-8.62,7.6,15.07,M0V,3934,0.347,Red,0.0258,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (13.0 ly away), Wolf 359 System (15.2 ly away), Solar System (Earth/Sun) (19.0 ly away)"
Gliese Gl 213,19.01,1.44,18.51,4.11,M5,3548,0.07,Red,0.0007,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (9.9 ly away), Epsilon Eridani System (12.7 ly away), Tau Ceti System (17.7 ly away)"
Gliese Gl 693,19.02,-0.6,-10.25,-16.01,M5,3568,0.101,Red,0.0015,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (9.0 ly away), Proxima Centauri System (15.1 ly away), Barnard's Star System (18.0 ly away)"
Gliese Gl 570A,19.05,-12.68,-12.4,-6.96,K4V,4686,0.595,Orange,0.153,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Gliese 581 System (5.2 ly away), Gliese 667 System (12.6 ly away), Proxima Centauri System (15.9 ly away)"
Gliese Gl 752A,19.15,6.28,-18.0,1.72,M3.5V,3848,0.185,Red,0.0067,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (13.8 ly away), Gliese 876 System (16.8 ly away), Gliese 667 System (17.6 ly away)"
Gliese Gl 752B,19.16,6.29,-18.01,1.72,dM5  e,2975,0.027,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Barnard's Star System (13.8 ly away), Gliese 876 System (16.8 ly away), Gliese 667 System (17.6 ly away)"
Gliese Gl 300,19.19,-9.76,14.94,-7.05,M4,3649,0.052,Red,0.0004,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (13.2 ly away), Wolf 359 System (15.3 ly away), Epsilon Eridani System (18.1 ly away)"
