name,dist_ly,x,y,z,spect,temp,size,color,brightness,comp_val,comp_desc,stage,image,has_planets,planet_count,visible_from
Gliese Gl 775,41.94,21.38,-36.01,2.43,K4V,4455,0.65,Orange,0.1494,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Gliese 876 System (33.1 ly away), Gliese 667 System (34.1 ly away), Barnard's Star System (37.1 ly away)"
Gliese GJ 2138,42.03,6.85,-40.11,-10.52,M1V:,3711,0.162,Red,0.0045,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (24.2 ly away), Gliese 581 System (32.6 ly away), Barnard's Star System (37.0 ly away)"
Gliese Gl 428B,42.04,-19.73,3.07,-37.0,M0 Ve,3100,0.914,Red,0.0692,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (36.1 ly away), Proxima Centauri System (38.3 ly away), Gliese 581 System (39.5 ly away)"
Gliese GJ 3722,42.06,-16.22,-1.67,38.77,G2V,5700,0.071,Yellow,0.0048,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"55 Cancri System (34.8 ly away), Wolf 359 System (39.0 ly away), Ross 128 System (39.3 ly away)"
Gliese Gl 897B,42.08,40.01,-4.78,-12.13,G2V,5700,0.065,Yellow,0.004,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 876 System (27.1 ly away), Tau Ceti System (32.5 ly away), Epsilon Eridani System (37.7 ly away)"
Gliese Gl 349,42.1,-33.23,25.51,4.15,K3V,4738,0.65,Orange,0.1912,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"55 Cancri System (17.5 ly away), Ross 128 System (33.7 ly away), Wolf 359 System (35.0 ly away)"
Gliese GJ 1073,42.14,9.26,30.57,27.48,k,3635,0.063,Orange,0.0006,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Ross 128 System (34.1 ly away), 55 Cancri System (34.8 ly away), Epsilon Eridani System (36.9 ly away)"
Gliese GJ 1214,42.14,-8.13,-41.19,3.64,m,3465,0.039,Red,0.0002,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,1,"Gliese 581 System (27.0 ly away), Gliese 667 System (28.7 ly away), Barnard's Star System (36.4 ly away)"
Gliese Gl 401B,42.19,-37.79,12.71,-13.82,DQ9,12000,0.01,White,0.0001,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Wolf 359 System (35.4 ly away), 55 Cancri System (38.0 ly away), Ross 128 System (38.6 ly away)"
Gliese Gl 194B,42.2,5.51,28.8,30.36,G0 III,5700,7.973,Yellow,60.2005,1.4,Metal-rich,Red Giant,images/sun.jpg,FALSE,0,"55 Cancri System (31.9 ly away), Ross 128 System (34.1 ly away), Epsilon Eridani System (38.1 ly away)"
Hipparcos 13218,42.25,18.68,17.14,-33.81,M,3779,0.203,Red,0.0075,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Tau Ceti System (33.9 ly away), Epsilon Eridani System (35.6 ly away), Gliese 876 System (37.1 ly away)"
Gliese Gl 895,42.28,22.22,-3.47,35.79,M2,3847,0.269,Red,0.0142,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (40.4 ly away), Barnard's Star System (41.0 ly away), Tau Ceti System (41.7 ly away)"
Gliese GJ 3131,42.36,33.9,20.24,-15.34,M3,3855,0.156,Red,0.0048,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Tau Ceti System (30.6 ly away), Epsilon Eridani System (33.1 ly away), Gliese 876 System (33.5 ly away)"
Gliese GJ 3224,42.36,26.27,32.94,4.33,m+,3100,0.048,Red,0.0002,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Epsilon Eridani System (32.4 ly away), Tau Ceti System (33.1 ly away), Ross 128 System (37.6 ly away)"
Gliese GJ 3309,42.36,12.12,35.43,19.8,M2.5,3749,0.161,Red,0.0046,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Ross 128 System (34.1 ly away), Epsilon Eridani System (35.1 ly away), 55 Cancri System (37.6 ly away)"
Gliese GJ 3981,42.36,-10.91,-39.63,10.22,m,3100,0.1,Red,0.0008,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (27.6 ly away), Gliese 667 System (32.4 ly away), Barnard's Star System (36.6 ly away)"
Gliese GJ 4368,42.36,41.69,-1.71,7.32,M1,3870,0.135,Red,0.0037,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,TRUE,1,"Gliese 876 System (29.8 ly away), Tau Ceti System (33.8 ly away), Epsilon Eridani System (38.0 ly away)"
Hipparcos 27887,42.39,0.55,21.17,-36.72,K3V,4904,0.62,Orange,0.1993,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Epsilon Eridani System (37.7 ly away), Tau Ceti System (38.4 ly away), Proxima Centauri System (40.2 ly away)"
Gliese Gl 521,42.43,-26.65,-12.34,30.62,M2,4003,0.226,Red,0.0118,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (36.2 ly away), Wolf 359 System (38.2 ly away), Barnard's Star System (40.0 ly away)"
Gliese Gl 204,42.47,5.82,41.99,-2.59,K5V,4487,0.595,Orange,0.1286,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Epsilon Eridani System (33.7 ly away), Ross 128 System (33.9 ly away), Tau Ceti System (37.2 ly away)"
Gliese GJ 1077,42.47,1.61,8.46,-41.58,M1.5 V,3824,0.115,Red,0.0025,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Proxima Centauri System (39.4 ly away), Tau Ceti System (39.4 ly away), Gliese 667 System (39.5 ly away)"
Gliese GJ 3106,42.52,16.97,8.01,38.16,B5,6528,0.092,Blue-White,0.0139,1.0,Solar metallicity,Main Sequence,images/sirius.jpg,FALSE,0,"Ross 128 System (40.3 ly away), Epsilon Eridani System (41.3 ly away), Tau Ceti System (42.1 ly away)"
Gliese Gl 422,42.52,-22.39,4.35,-35.87,m,3839,0.129,Red,0.0032,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (37.4 ly away), Proxima Centauri System (38.8 ly away), Gliese 581 System (39.7 ly away)"
Gliese Gl 167,42.55,11.15,22.84,-34.12,K5V,4483,0.6,Orange,0.1303,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Tau Ceti System (35.6 ly away), Epsilon Eridani System (35.9 ly away), Gliese 876 System (40.8 ly away)"
Gliese Gl 722,42.67,6.73,-39.25,-15.33,G5V,5696,0.85,Yellow,0.6817,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 667 System (23.3 ly away), Gliese 581 System (33.4 ly away), Gliese 876 System (37.6 ly away)"
Hipparcos 76362,42.69,-4.27,-5.87,-42.06,G2V,5700,0.059,Yellow,0.0033,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 667 System (31.6 ly away), Proxima Centauri System (38.8 ly away), Gliese 581 System (41.4 ly away)"
Gliese Gl 592,42.69,-24.19,-33.6,-10.42,M4,3677,0.087,Red,0.0012,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (22.8 ly away), Gliese 667 System (26.0 ly away), Barnard's Star System (38.7 ly away)"
Gliese Gl 707,42.74,1.67,-30.99,-29.39,K7V,4127,0.505,Orange,0.0665,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Gliese 667 System (21.3 ly away), Gliese 581 System (34.2 ly away), Gliese 876 System (39.1 ly away)"
Gliese Gl 195A,42.75,5.51,29.27,30.67,dM2,3794,0.259,White,0.0124,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"55 Cancri System (32.1 ly away), Ross 128 System (34.6 ly away), Epsilon Eridani System (38.6 ly away)"
